interpretation_id,raw_text_ref,file_exists,answer_tier,quality_score,dataset_role,allowed_for_pretraining,allowed_as_context,forbidden_reason,text_length_chars,text_length_tokens_estimate,content_hash,reference_segment_count,embedding_status,in_build_external_embeddings
score50:F605134,answers/reference_answers/score50/F605134_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,575,126,3b2d848450e93bbc20cb10393671c3b81038b4c036d0011f1d70b79353256cd0,9,pending,True
score50:F662255,answers/reference_answers/score50/F662255_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,596,136,7c145de1ef01ad3f4acf3f974baf898ec40dd169dd2aa295432486ef65185174,9,pending,True
score50:F705994,answers/reference_answers/score50/F705994_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,562,123,d003fb70e6459bf227f9ed3a21768b0f6d3e48d934c000ca9427b9681fb28441,9,pending,True
score50:F760592,answers/reference_answers/score50/F760592_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,568,127,6f2b12d0e487e25f486183f6d83a1b54b3184a43e300938f3d90206b74524ee0,9,pending,True
score50:F773675,answers/reference_answers/score50/F773675_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,575,125,6c57f8c7edafced5d47de78cb37f3bf9df8d2e7bf2965eb36f30b104f28aeb0a,9,pending,True
score50:F814133,answers/reference_answers/score50/F814133_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,551,121,7df11a7238df492cbe36273a39ec0def992aebfe55ff8e59c43d06a36a64143a,9,pending,True
score50:F854780,answers/reference_answers/score50/F854780_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,565,127,1ed2a629c90ab266b9dc3b0669dab51e078265428d9a897cc9a5ec143e869cd6,9,pending,True
score50:F882016,answers/reference_answers/score50/F882016_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,541,120,bf497168562593f8bb788829553ececfcddad043a88f94116190f56b685fd96e,9,pending,True
score50:F944488,answers/reference_answers/score50/F944488_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,580,131,7f175966186b9c04d671633acc5b2041813b65ac76b467ef8c2171c5cfc39032,9,pending,True
score50:F968401,answers/reference_answers/score50/F968401_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,569,128,077d8d0041305c1f0000f6f5c8490263314b894a57eac9907dbb3afd57905db0,9,pending,True
score50:F972654,answers/reference_answers/score50/F972654_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,558,125,e9df05ddd774a02307f353a323331324cfa7bf6d79c180e472dca7a0081897d7,9,pending,True
score50:F981237,answers/reference_answers/score50/F981237_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,551,121,3c3955584e1ea2a77e76295c4b1f1a8a64cb34d941172b0b455aded3725bcd3e,9,pending,True
score50:F995842,answers/reference_answers/score50/F995842_answer.txt,True,score50,50,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,555,123,7f215452eb455985a8e9cece7b30a92d54f977a5e171adb81881eeda2549fbae,9,pending,True
score70:F135380,answers/reference_answers/score70/F135380_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,884,194,57779be5025b910a9c7fb4240a4726dd6e46ccfb938cf33551858aedbfb7846f,9,pending,True
score70:F155481,answers/reference_answers/score70/F155481_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,878,189,0e1a54d935ae136ef4199ccaca1857febb470974b195024218a727071657d9a2,9,pending,True
score70:F188026,answers/reference_answers/score70/F188026_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,874,191,da7707f15550327b49abb6cc942859352fd9329a5fbfe3fb96b28ece6c884adc,9,pending,True
score70:F194265,answers/reference_answers/score70/F194265_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,739,165,792d545ddba9319a8e1a0753a31744420835763d5d2190c3301083b2d1529db3,9,pending,True
score70:F209570,answers/reference_answers/score70/F209570_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,741,165,d4daa14619ba061844860defa6930da4e7ef01c16360f0ff11fcd55be72d74cf,9,pending,True
score70:F257178,answers/reference_answers/score70/F257178_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,883,194,fded6cca9875560e070ad7cae359bf9aea85effa3431bf5e9f6576907404c93b,9,pending,True
score70:F279269,answers/reference_answers/score70/F279269_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,862,185,42469b905ec3758e27f467cb9fab8859d7753453bd4c8048d024f2edcef67776,9,pending,True
score70:F295998,answers/reference_answers/score70/F295998_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,846,182,cff6b3484ec8bbfcd8c89a3208c102104ad1c1ffed15a796760f3e1254fb7b21,9,pending,True
score70:F302129,answers/reference_answers/score70/F302129_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,854,187,57691fa48a1964f76005614a652a47951e0fe7742d3247c80046d15c91516500,9,pending,True
score70:F332196,answers/reference_answers/score70/F332196_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,871,193,9a7ee9a9aec1779a10d08963bcc9250e936e8ad2b518a0a0d68491200870cbe0,9,pending,True
score70:F354848,answers/reference_answers/score70/F354848_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,866,188,c17f2952800872017d34281fd54c50947f70e0656bf4f94bac27c79f2f43306c,9,pending,True
score70:F385790,answers/reference_answers/score70/F385790_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,875,194,7792039d158f143b070b66c81862d137695259fbe63ab360f2112e5c0ad81ce5,9,pending,True
score70:F393975,answers/reference_answers/score70/F393975_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,862,188,7916ce40c455699714ed6121806463eefced603d379f41b70e9049235cd3b401,9,pending,True
score70:F396544,answers/reference_answers/score70/F396544_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,733,164,e496c7fb74fe997d690ad88aa8aad46c287d2b7d177a40526cfd2e999062a547,9,pending,True
score70:F420458,answers/reference_answers/score70/F420458_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,739,164,e62dd5302498a839c02f9dbf80032ee50b38f67d7ece978f7e5d29dbf6b3c59b,9,pending,True
score70:F451640,answers/reference_answers/score70/F451640_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,860,187,0f495b0d7a9cccb23ee6ef89fc71165288b0e27109cf58171e9bbd3bc0ca0f39,9,pending,True
score70:F538612,answers/reference_answers/score70/F538612_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,845,183,19d99f126931fa87bcb74a7ebf64ba439562f453e1893176783a950566e0e7c6,9,pending,True
score70:F541027,answers/reference_answers/score70/F541027_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,870,189,69a54967a7c6ec71617f9cd635470d153e5f47b55a5fabf94a9c707d1553e6c2,9,pending,True
score70:F541562,answers/reference_answers/score70/F541562_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,866,189,3b3c3ecf666b3e9f3472a24d4386e88081a8371f0fe0125c60bfed03b7ebcf9f,9,pending,True
score70:F551358,answers/reference_answers/score70/F551358_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,860,188,543ac8f1fddc6c07dcfbb1d1d805c3901a18f7de58a7bc04af43405876dcc15b,9,pending,True
score70:F584775,answers/reference_answers/score70/F584775_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,856,183,2ffe9ea385c5988991b81044c11d976ba00cf3c0f44c2259d067abac855a6c6c,9,pending,True
score70:F596090,answers/reference_answers/score70/F596090_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,878,191,18fe673cd03de0eafcfafeeb6dbb1d15c6841330ff9569af8ca9d05eb0805975,9,pending,True
score70:F605134,answers/reference_answers/score70/F605134_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,895,196,9e38986d8dd01726b6cd99f780ae3dd47897093320da3bd20d8ea05a20eb0db7,9,pending,True
score70:F662255,answers/reference_answers/score70/F662255_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,870,193,60113affd9fb05a957f5830592a3a18877c95c60038098b075c930df0d813e00,9,pending,True
score70:F705994,answers/reference_answers/score70/F705994_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,884,193,0ca80a172c4bd5a3c579c1f745c64817b01543916ccf59be0df79d7abed42b58,9,pending,True
score70:F760592,answers/reference_answers/score70/F760592_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,848,183,c2e8ded403b214e3cbd11a1fe5cead2ae267b59de7b6321aa2f3119786b0966e,9,pending,True
score70:F773675,answers/reference_answers/score70/F773675_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,844,181,0f9c2532ff0f24b3297fb964af0c2062540aecb69bc1691654e34fbdac01b9ab,9,pending,True
score70:F814133,answers/reference_answers/score70/F814133_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,860,187,4ff3b8af18b7af48e54781a37febb5ac06df31f238aac1fdeb49de1750e91e50,9,pending,True
score70:F854780,answers/reference_answers/score70/F854780_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,876,194,dba77a0875bc21ebb9aed1f3c2a4b88527b10f5adb080e4699b57bdc23926562,9,pending,True
score70:F882016,answers/reference_answers/score70/F882016_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,857,188,35f559ce445aa90276b773bedb602585bee49d9d266cb7d9e7da815d8637c62e,9,pending,True
score70:F944488,answers/reference_answers/score70/F944488_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,861,188,6f61d404f31ab145a0665c4b77dffdbd86e95a884b2af546f1014df88bff44b8,9,pending,True
score70:F968401,answers/reference_answers/score70/F968401_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,876,194,651d2520e996b542a58d30ee1cdbf02aa1118c9c66664e5293ddf5ae6afc42b3,9,pending,True
score70:F972654,answers/reference_answers/score70/F972654_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,870,192,1fbce960fb05eb24631d7aefcd775e08726c86185896ae293d5c75116feebe0d,9,pending,True
score70:F981237,answers/reference_answers/score70/F981237_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,867,189,7d794f238944ac9d34745d82ed79578164d87bd15e1e693a0e6da0bad9c55b6c,9,pending,True
score70:F995842,answers/reference_answers/score70/F995842_answer.txt,True,score70,70,example_set_candidate,False,False,auxiliary_or_contrastive_not_merged_with_score90,871,191,aafb7148cdd36e8010a516cac5525d6cbefd661826697d7aed00234f0146a423,9,pending,True
score90:F135380,answers/reference_answers/score90/F135380_answer.txt,True,score90,90,example_set_candidate,True,True,,1628,356,fdbf9c1cac18219d6020a50b47813ef0642db75103c1831d4607b32f1dd710d6,10,pending,True
score90:F155481,answers/reference_answers/score90/F155481_answer.txt,True,score90,90,example_set_candidate,True,True,,1637,349,b4f14a4a54e44722d05cc7b86a946b5b01cc336df8a12b0c052d8b2439ec3c5f,10,pending,True
score90:F188026,answers/reference_answers/score90/F188026_answer.txt,True,score90,90,example_set_candidate,True,True,,1626,351,afb9c4dd1a6ca88a6a21069bbf6ba9e148d1daa1fba978f2bdaaf1321671598b,10,pending,True
score90:F194265,answers/reference_answers/score90/F194265_answer.txt,True,score90,90,example_set_candidate,True,True,,1255,272,7d486a2049132686177959574b779f3031c41bb9bb70d9abca9ec8b26d0cda2e,9,pending,True
score90:F209570,answers/reference_answers/score90/F209570_answer.txt,True,score90,90,example_set_candidate,True,True,,1255,272,799cc63fd1a9c98ea16a93da2b65a608ea1423c164047a6925446ef32bf4a2f8,9,pending,True
score90:F257178,answers/reference_answers/score90/F257178_answer.txt,True,score90,90,example_set_candidate,True,True,,1630,356,46a0915c15be01611f6ca9036b2be5a49812f32a6fbad5a31e86115e885ad778,10,pending,True
score90:F279269,answers/reference_answers/score90/F279269_answer.txt,True,score90,90,example_set_candidate,True,True,,1577,332,562c0eb20e5b294ea300e34dd0eadf316147dc8f36d195f2423050c5cc628136,10,pending,True
score90:F295998,answers/reference_answers/score90/F295998_answer.txt,True,score90,90,example_set_candidate,True,True,,1559,333,227b69ca70af8dec3a9c87cb4632831b5c26ce30cd430dcdb18ca11596fe45a5,10,pending,True
score90:F302129,answers/reference_answers/score90/F302129_answer.txt,True,score90,90,example_set_candidate,True,True,,1604,347,5a016355b4a4faaa092e8174f919f452e383a7ec329b35c4769f7f708f2083dd,10,pending,True
score90:F332196,answers/reference_answers/score90/F332196_answer.txt,True,score90,90,example_set_candidate,True,True,,1608,350,ed6602f27decc048d42a7e832d1d88d34f5fe7a4bf0a923488ea5cd50a98a587,10,pending,True
score90:F354848,answers/reference_answers/score90/F354848_answer.txt,True,score90,90,example_set_candidate,True,True,,1623,348,299666ef1074b819887123fafd6335d21a1ac6d7ff8c81f6e2693926ab9ca4e8,10,pending,True
score90:F385790,answers/reference_answers/score90/F385790_answer.txt,True,score90,90,example_set_candidate,True,True,,1637,358,f485362fa1bdc3dea4da9da1201bab655ce066bd53a38a6631153334a22adf72,10,pending,True
score90:F393975,answers/reference_answers/score90/F393975_answer.txt,True,score90,90,example_set_candidate,True,True,,1569,336,91926272ec719d541c412ad0049b72bfd4cb97ef8805c8bfed74d951d1c049c0,10,pending,True
score90:F396544,answers/reference_answers/score90/F396544_answer.txt,True,score90,90,example_set_candidate,True,True,,1239,270,6f8e29f258093fa502b29a4dd861ddfeb1dd4f17adc545e6b0ef597b156949c4,9,pending,True
score90:F420458,answers/reference_answers/score90/F420458_answer.txt,True,score90,90,example_set_candidate,True,True,,1264,273,7dd8d2d4111e368e27930f4e07ce96fa070f9c282e5e50ae83b16806f5a63052,9,pending,True
score90:F451640,answers/reference_answers/score90/F451640_answer.txt,True,score90,90,example_set_candidate,True,True,,1607,344,b491fe8c5898a49e0f58e63b50d133db02737041f3b1fabc13bf2a89b1f93f87,10,pending,True
score90:F538612,answers/reference_answers/score90/F538612_answer.txt,True,score90,90,example_set_candidate,True,True,,1540,330,8647a9ed7f6ac776821de69fea85331a6981023897520b70f7a5fc7acebf08ce,10,pending,True
score90:F541027,answers/reference_answers/score90/F541027_answer.txt,True,score90,90,example_set_candidate,True,True,,1625,348,8162b3de1266aa5f68f6d30355884a7689f083dcd39cd356f1b534ac284de163,10,pending,True
score90:F541562,answers/reference_answers/score90/F541562_answer.txt,True,score90,90,example_set_candidate,True,True,,1628,352,24c6dba4dabf16d54c1e69d079e60c4c3c58efcc55d0a27e48c3d459a84c645d,10,pending,True
score90:F551358,answers/reference_answers/score90/F551358_answer.txt,True,score90,90,example_set_candidate,True,True,,1574,338,99ce03eed274517e88af4f68a8a485d372e5ab31bced32ccf1844fc88f4611f0,10,pending,True
score90:F584775,answers/reference_answers/score90/F584775_answer.txt,True,score90,90,example_set_candidate,True,True,,1571,330,39872ade12920322ff20820645707e697a71a4a5024e248857b19f88dc76efff,10,pending,True
score90:F596090,answers/reference_answers/score90/F596090_answer.txt,True,score90,90,example_set_candidate,True,True,,1639,354,8bef7f0ee6d0f0b8da3660846e217c09be9a9747c1f843aefff6366135b2268c,10,pending,True
score90:F605134,answers/reference_answers/score90/F605134_answer.txt,True,score90,90,example_set_candidate,True,True,,1639,353,2a7c21f6ead40d76f787951f6a6a8f42e331bafd568861704b2ace2080f0d390,10,pending,True
score90:F662255,answers/reference_answers/score90/F662255_answer.txt,True,score90,90,example_set_candidate,True,True,,1605,352,276d76e9f1bf621cf786e2099680000f2e151e2f23fc8c7287d19d382244e48c,10,pending,True
score90:F705994,answers/reference_answers/score90/F705994_answer.txt,True,score90,90,example_set_candidate,True,True,,1627,350,991d710c9cb9116fe825e837a0b80b1509c04540cfe87ce3772152937b591180,10,pending,True
score90:F760592,answers/reference_answers/score90/F760592_answer.txt,True,score90,90,example_set_candidate,True,True,,1547,330,a506f4fb882003dd5d01c4d25f5d5a5064230a566c24dc9d8dd138114a50d0d7,10,pending,True
score90:F773675,answers/reference_answers/score90/F773675_answer.txt,True,score90,90,example_set_candidate,True,True,,1548,326,0309eb9013bf51d94bdc02efa6e7471e69483d5626f34b203306f8f93b890f90,10,pending,True
score90:F814133,answers/reference_answers/score90/F814133_answer.txt,True,score90,90,example_set_candidate,True,True,,1606,344,4d9dcebd6235123a3fd732b72ee4bb5223ecbe082b568dd575bb2eddec3250d4,10,pending,True
score90:F854780,answers/reference_answers/score90/F854780_answer.txt,True,score90,90,example_set_candidate,True,True,,1639,358,16569dadf2a129c1f08da259ddfb168dd891f8dc091ce3dc145afdf08d9e31df,10,pending,True
score90:F882016,answers/reference_answers/score90/F882016_answer.txt,True,score90,90,example_set_candidate,True,True,,1607,348,40ae82ae5b6d93319a502907c58f8ce084298913e7e79952a96e2312b6b3611f,10,pending,True
score90:F944488,answers/reference_answers/score90/F944488_answer.txt,True,score90,90,example_set_candidate,True,True,,1565,336,3a7283ee69694834176e4e2eb364923391689b436ba3f63d44ebd93807013600,10,pending,True
score90:F968401,answers/reference_answers/score90/F968401_answer.txt,True,score90,90,example_set_candidate,True,True,,1628,355,07212e74a86c7ad0af3068e686cf9521f8680a785a256eeeb34c0240b0d31bee,10,pending,True
score90:F972654,answers/reference_answers/score90/F972654_answer.txt,True,score90,90,example_set_candidate,True,True,,1636,357,ab32d06397dfb4e2ec73f8ffd9fcd0f7566a4cd715fe2faffa290bae75cd7010,10,pending,True
score90:F981237,answers/reference_answers/score90/F981237_answer.txt,True,score90,90,example_set_candidate,True,True,,1633,352,26e2ea923e4ba4e93665c2f1f39dc7533e5f248f322d416d60589a316fd6d66e,10,pending,True
score90:F995842,answers/reference_answers/score90/F995842_answer.txt,True,score90,90,example_set_candidate,True,True,,1626,352,dfd26e98fc8144139511b95d91bdc8eb3ca878cd0242ec608edb1899479f79be,10,pending,True
